Year,Title,Director,Cast,Genre
1924,Dhruva Charitra a.k.a. The Story Of Dhruva,Jyotish Bannerjee,"mohan,mcgrath,master,mannelli,f,james,patience,kashmiri,p,monilal,agha,cooper,signor,signorina,m,dadabhai,hashar,sarkari",mythology
1924,Draupadi Bhagya a.k.a. Draupadi's Fate,Raghupathy S. Prakasa,unknown,mythology
1924,Gajendra Moksham a.k.a. Gajendra's Nirvana,Raghupathy S. Prakasa,unknown,mythology
1924,Gomata a.k.a. Sacred Cow,Unknown,unknown,devotional
1924,Gul-E-Bakavali,Kanjibhai Rathod,"charlie,fatma,noor,zubeida,begum,mohammed,khalil,miss,moti,jamuna,sr,sultana,abdul,ghani",legend
1924,Ishq No Umedwar,Unknown,unknown,unknown
1924,Jayadratha Vadha,G. V. Sane,"bhaurao,datar,pawar,bachu",mythology
1924,Kala Naag a.k.a. Triumph Of Justice a.k.a. Kalyug Ki Sati,Homi Master,"fatma,zubeida,begum,miss,khalil,tara,moti,ibrahim,savita,sultana","life,crime,true,thriller"
1924,Kalyan Khajina a.k.a. The Treasures of Khajina,Baburao Painter,"bhave,master,bhosle,baburao,zunzharrao,pawar,painter,vithal,p,k,sultana,kamaladevi,chimasaheb,nalini","crime,thriller"
1924,Karan Ghelo a.k.a. Karan Waghela,S. N. Patankar,unknown,historical
1924,Kismet Ka Shikar a.k.a. Victims Of Fate,Unknown,unknown,social
1924,Krishna Kumari a.k.a. Daughter Of Shripur,Gajanan S. Devare,unknown,costume
1924,Manorama a.k.a. Hridaya Triputi,Homi Master,"khalil,zubeida,sultana",social
1924,Mishar Rani a.k.a. Queen Of Mishar,Jyotish Bannerjee,"niharbala,naserwanji,choudhury,ahindra,durgadas,bannerjee,krishnabhamini",costume
1924,Municipal Election a.k.a. Municipal Nivadnuk,Dadasaheb Phalke,"baburao,datar,pawar,jadhav,shinde,sakharam,bachu",social
1924,Nanda Batrisi a.k.a. Nand Batrishi,Unknown,"berry,asooji,dolores",devotional
1924,Nandanar a.k.a. Bhakta Nandan,Raghupathy S. Prakasa,unknown,devotional
1924,Narsinh Mehta,Gajanan S. Devare,unknown,"devotional,biopic"
1924,Navin Bharat a.k.a. New India a.k.a. Naveen Bharat,Kashinath Chatterjee,unknown,social
1924,Navi Sethani a.k.a. Kanya Vikrya Ni Kahani,Homi Master,unknown,social
1924,Paper Parinam a.k.a. Crime And Punishment,Unknown,"nirmalendu,prabhavati,probodh,lahiri,chandra,prabhadevi,bose",social
1924,Patni Pratap a.k.a. Wife's Achievement,J. J. Madan,"cooper,patience",social
1924,Poona Raided a.k.a. Poona Par Hallo,B. V. (Mama) Warerkar,"bhawani,vishnupant,ketkar,sansare,sundar,pandharinath,varane,datta,baburao,pagnis,dulari,shankarrao,rao,krishnarao,miss,kaiser,shinde,nadkarni,kale",historical
1924,Prithvi Vallabh a.k.a. The Lord Of Love And Power,Manilal Joshi,"wagle,fatma,zubeida,begum,miss,p,y,jaina,sultana,pendharkar,bhalji,altekar,sandow",historical
1924,Prithviraj Chouhan a.k.a. Prithviraj Chauhan,Unknown,unknown,historical
1924,Ra Mandlik,Homi Master,"yakbal,rajababu,raja,miss,ganibabu,sandow",historical
1924,Raja Harishchandra,"D.D. Dabke, Narayan Deware",unknown,mythology
1924,Ranakdevi,S. N. Patankar,"tarabai,koregaonkar,shah,c",historical
1924,Razia Begum,"Nanubhai Desai, Bhagwati Mishra","jilloobai,sandow,raja",historical
1924,Repentance a.k.a. Paap No Pashchatap,Naval Gandhi,"berry,tara,dolores",social
1924,Sadevant Savlinga,Unknown,unknown,costume
1924,Sadguni Sushila a.k.a. Sushila The Virtuous a.k.a. Triumph Of Truth,Kanjibhai Rathod,"sandow,raja","life,true,drama,thriller"
1924,Samudra Manthan a.k.a. The Churning Of The Ocean a.k.a. Ahankar Vijaya,V.K. Pattani,"vaidya,nanubai,batukbhai",mythology
1924,Sanyasi,Naval Gandhi,unknown,social
1924,Sati Padmini a.k.a. Beauty of Rajasthan a.k.a. Siege of Chittor,Baburao Painter,"bedi,ganpat,yadav,zunzharrao,pawar,bakre,dwarka,balasaheb,nalini","historical,drama"
1924,Sati Sardarba,Nanubhai Desai,"mohanlala,putli,fatma,zubeida,begum,sultana",devotional
1924,Sati Seeta,Kanjibhai Rathod,unknown,religious
1924,Sati Sone a.k.a. Halaman Jethvo,Homi Master,"rajababu,raja,janibabu,miss,moti,jamuna,sr,sandow",devotional
1924,Shah Jehan a.k.a. Shahjehan,"Ardeshir M. Irani, Naval Gandhi","mishra,jilloobai,bhagwati,elizer",historical
1924,Shaitan Pujari,Unknown,unknown,social
1924,Sharda,Dadasaheb Phalke,unknown,social
1924,Shivaji's Escape From Agra a.k.a. Shivajichi Agryahun Sutaka,Dadasaheb Phalke,"laxman,bhaurao,datar,jardos,malusare",historical
1924,Sita Shuddhi a.k.a. Ram Ravan Yuddha a.k.a. The Purification Of Sita,"G. V. Sane, Dadasaheb Phalke","vasant,chavan,shinde",religious
1924,Shri Dnyaneshwar,S. N. Patankar,unknown,devotional
1924,Sita Vanvas a.k.a. Uttar Ramcharitra,V. S. Nirantar,unknown,religious
1924,Sharif Badmash a.k.a. Society Scoundrel,Kanjibhai Rathod,"dorothy,ermeline,vakil,ali,hakim,shiraz,madanrai",social
1924,Sund And Upsund,G. V. Sane,unknown,mythology
1924,The Debt Of Sin a.k.a. Paap No Fej,"Ardeshir Irani, Naval Gandhi","asooji,tara,bhagwati,mishra,elizer","life,crime,true,thriller"
1924,Turki Hoor,J. J. Madan,"sharifa,mohan,master,surajram,narmada,patience,manilal,cooper,shankar",costume
1924,Usha Swapna a.k.a. Usha's Dream,Raghupathy S. Prakasa,unknown,mythology
1924,Vasant Prabha,Unknown,"probodh,kusumkumari,m,prabhadevi,hussain,bose",social
1924,Veer Ahir,Homi Master,"jamna,k,athavale,b",legend
1924,Veer Bharat,Jyotish Bannerjee,unknown,costume
1924,Veer Durgadas a.k.a. Brave Durgadas,Bhagwati Mishra,"mishra,asooji,jilloo,bhagwati",historical
1924,Vijaya a.k.a. Victory a.k.a. Vijay,Bhagwati Mishra,unknown,unknown
1924,Vikram Charitra a.k.a. Buddhibal,"Nanubhai Desai, Dorabsha Kohla","tara,gopalji,asubhai",legend
1924,Wages of Sin,Unknown,unknown,unknown
1925,Amarsinh Daggar a.k.a. Marwad's Moti,Bhagwati Prasad Mishra,"madanrai,vakil",historical
1925,Anant Vrat,G. V. Sane,"bhaurao,krishna,datar,chauhan",mythology
1925,Baap Kamai a.k.a. Fortunes And Fools,Kanjibhai Rathod,"gohar,ermeline,nandram,gangaram,gulab,putlibai",social
1925,Bajirao Mastani,"Bhalji Pendharkar, Nanubhai B. Desai","nanasaheb,jones,master,vithal,miss,sayani,phatak,yakub",historical
1925,Bhadra Bhamini a.k.a. Test Of Chastity,Nanubhai B. Desai,"joshi,nandram,gulab,prabhudas,p,r",costume
1925,Black Thief a.k.a. Kala Chor,Manilal Joshi,"raja,janibabu,zubeida,putlibai,sandow",costume
1925,Chalu Zamana a.k.a. Chalti Duniya,Unknown,unknown,unknown
